tab 	magic_measurements
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_name	magic_instrument_codes	magic_method_codes	magic_software_packages	measurement_csd	measurement_dec	measurement_description	measurement_flag	measurement_inc	measurement_magn_moment	measurement_number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_temp	treatment_ac_field	treatment_dc_field	treatment_temp
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2014-12-06 12:58:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.0	277.5		g	-80.1	7.22e-08	19	1	3.36e-09	1.62e-09	5.83e-10	273	0	0	833.0
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2014-12-08 14:35:47	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.5	271.8		g	-77.2	5.21e-08	20	1	2.00e-09	1.11e-09	3.83e-10	273	0	0	838.0
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2014-12-08 21:28:42	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.4	273.0		g	-80.9	2.81e-08	21	1	9.20e-10	8.15e-10	5.85e-10	273	0	0	843.0
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2015-01-12 10:18:45	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.9	300.3		g	-51.8	1.79e-08	22	1	1.17e-09	5.97e-10	2.00e-10	273	0	0	846.0
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2015-01-14 13:35:46	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.0	297.3		g	-42.5	1.78e-08	23	1	8.69e-10	4.04e-10	5.81e-10	273	0	0	849.0
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2015-01-15 13:53:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	5.2	074.0		g	-73.4	8.93e-09	24	1	5.53e-10	4.29e-10	1.07e-09	273	0	0	852.0
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2015-01-18 12:18:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	10.4	093.6		g	-57.3	7.96e-09	25	1	7.75e-10	8.76e-10	9.68e-10	273	0	0	855.0
This study	unknown	Z32.3	Z32	Z32.3a	Z32.3a:LP-DIR-T	hargrave 2015-01-19 09:38:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.2	078.9		g	-64.1	9.84e-09	26	1	3.47e-10	3.78e-10	3.59e-10	273	0	0	855.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.2.1	1.2	119.0		g	58.7	1.37e-06	1	1	2.69e-08	1.12e-08	8.35e-09	273	0	0	273
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	1.9	138.5		g	41.2	2.80e-07	2	1	7.74e-09	5.80e-09	5.51e-09	273	0	0	77
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	149.1		g	21.2	1.72e-07	3	1	6.94e-09	5.53e-09	6.45e-09	273	0	0	373.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-10-22 15:10:24	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.6	180.9		g	-39.1	1.42e-07	4	1	2.47e-09	4.54e-09	4.85e-09	273	0	0	423.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-10-27 15:37:37	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	216.6		g	-64.3	1.98e-07	5	1	2.00e-09	2.72e-09	4.49e-09	273	0	0	473.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-10-28 13:01:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	231.2		g	-63.0	2.39e-07	6	1	3.12e-09	2.53e-09	2.94e-09	273	0	0	523.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-10-28 19:56:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	245.0		g	-65.7	2.45e-07	7	1	6.92e-09	2.76e-09	1.55e-09	273	0	0	573.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-10-29 20:09:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.4	253.8		g	-65.0	2.30e-07	8	1	9.97e-10	1.33e-09	1.79e-09	273	0	0	623.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-11-03 16:29:45	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	260.3		g	-60.4	2.26e-07	9	1	4.73e-09	1.42e-09	1.28e-09	273	0	0	673.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-11-04 11:25:09	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	260.8		g	-60.1	2.22e-07	10	1	8.22e-09	1.27e-09	1.11e-09	273	0	0	698.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-11-10 12:09:32	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.5	262.1		g	-59.0	2.20e-07	11	1	5.51e-09	1.27e-09	1.41e-09	273	0	0	723.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-11-10 21:33:17	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.6	258.7		g	-58.9	2.10e-07	12	1	1.65e-09	1.48e-09	1.04e-09	273	0	0	748.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-11-13 11:01:57	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	259.9		g	-62.2	1.97e-07	13	1	9.91e-09	8.06e-10	3.79e-10	273	0	0	773.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-11-17 16:44:55	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	264.2		g	-65.6	1.85e-07	14	1	4.95e-09	1.21e-09	6.72e-10	273	0	0	788.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-11-24 17:36:02	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.6	268.6		g	-63.5	1.77e-07	15	1	4.68e-09	1.12e-09	3.94e-10	273	0	0	803.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-12-01 16:14:50	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.6	269.1		g	-65.1	1.78e-07	16	1	1.47e-09	1.22e-09	3.55e-10	273	0	0	818.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-12-02 00:04:58	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.6	270.7		g	-62.1	1.61e-07	17	1	1.23e-09	1.05e-09	8.82e-10	273	0	0	823.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-12-05 13:01:04	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.2	261.0		g	-56.5	1.08e-07	18	1	3.96e-09	8.38e-10	1.22e-09	273	0	0	828.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-12-06 12:59:49	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	252.7		g	-61.4	5.23e-08	19	1	2.31e-09	6.38e-10	1.25e-09	273	0	0	833.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-12-08 14:37:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	252.7		g	-48.3	4.19e-08	20	1	9.93e-10	6.46e-10	1.34e-09	273	0	0	838.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2014-12-08 21:30:20	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	294.7		g	-52.0	2.99e-08	21	1	9.36e-10	7.55e-10	1.15e-09	273	0	0	843.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2015-01-12 10:20:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.9	308.4		g	-38.7	2.73e-08	22	1	1.68e-09	5.07e-10	7.06e-10	273	0	0	846.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2015-01-14 13:37:22	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.4	255.0		g	-18.2	2.55e-08	23	1	6.34e-10	6.02e-10	1.42e-09	273	0	0	849.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2015-01-15 13:54:37	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	8.4	086.6		g	-66.0	7.37e-09	24	1	7.04e-10	4.92e-10	1.63e-09	273	0	0	852.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2015-01-18 12:20:00	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	14.4	234.4		g	-24.0	9.03e-09	25	1	1.77e-09	6.97e-10	1.41e-09	273	0	0	855.0
This study	unknown	Z32.4	Z32	Z32.4a	Z32.4a:LP-DIR-T	hargrave 2015-01-19 09:39:58	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.5	241.1		g	-45.5	9.62e-09	26	1	7.35e-10	5.78e-10	7.32e-10	273	0	0	855.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.2.1	2.3	182.8		g	26.5	1.42e-06	1	1	1.84e-08	5.53e-08	1.18e-08	273	0	0	273
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	4.5	211.5		g	-6.2	2.50e-07	2	1	9.43e-09	1.46e-08	9.26e-09	273	0	0	77
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	221.9		g	-21.8	2.24e-07	3	1	5.12e-09	7.17e-09	1.01e-08	273	0	0	373.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-10-22 15:12:02	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	256.0		g	-42.7	2.43e-07	4	1	2.18e-09	2.56e-09	8.49e-09	273	0	0	423.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-10-27 15:39:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.0	277.0		g	-49.3	2.75e-07	5	1	7.37e-09	2.08e-09	7.87e-09	273	0	0	473.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-10-28 13:03:40	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.0	288.7		g	-49.0	3.06e-07	6	1	2.01e-08	6.06e-09	6.43e-09	273	0	0	523.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-10-28 19:57:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.8	296.9		g	-49.5	3.32e-07	7	1	1.43e-08	7.23e-09	5.42e-09	273	0	0	573.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-10-29 20:11:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	298.0		g	-48.6	3.35e-07	8	1	3.38e-09	1.96e-09	4.97e-09	273	0	0	623.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-11-03 16:31:23	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.3	304.0		g	-46.5	3.24e-07	9	1	6.20e-09	3.71e-09	3.82e-09	273	0	0	673.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-11-04 11:26:45	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.7	306.7		g	-45.5	3.14e-07	10	1	1.91e-09	1.78e-09	4.16e-09	273	0	0	698.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-11-10 12:11:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.8	309.8		g	-44.6	3.07e-07	11	1	1.27e-08	7.60e-09	4.00e-09	273	0	0	723.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-11-10 21:34:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	311.3		g	-45.8	2.92e-07	12	1	2.19e-09	3.64e-09	3.60e-09	273	0	0	748.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-11-13 11:03:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	316.3		g	-48.4	2.73e-07	13	1	1.18e-08	5.13e-09	4.78e-09	273	0	0	773.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-11-17 16:46:34	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	319.5		g	-49.7	2.56e-07	14	1	2.73e-09	2.31e-09	3.31e-09	273	0	0	788.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-11-24 17:37:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	318.6		g	-49.6	2.41e-07	15	1	1.53e-09	2.18e-09	3.19e-09	273	0	0	803.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-12-01 16:16:30	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	315.1		g	-47.0	2.30e-07	16	1	6.40e-09	2.67e-09	2.77e-09	273	0	0	818.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-12-02 00:06:37	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.9	324.5		g	-46.6	2.19e-07	17	1	5.09e-09	9.75e-09	2.19e-09	273	0	0	823.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-12-05 13:02:43	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	321.5		g	-37.8	1.39e-07	18	1	1.25e-09	1.43e-09	1.30e-09	273	0	0	828.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-12-06 13:01:27	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	311.5		g	-36.8	6.54e-08	19	1	1.66e-09	1.31e-09	1.07e-09	273	0	0	833.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-12-08 14:39:03	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.0	305.3		g	-39.7	5.68e-08	20	1	5.17e-10	9.59e-10	2.82e-10	273	0	0	838.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2014-12-08 21:32:02	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	322.8		g	-20.8	2.54e-08	21	1	7.17e-10	9.57e-10	1.39e-09	273	0	0	843.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2015-01-12 10:22:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	334.0		g	-28.1	3.31e-08	22	1	1.53e-09	1.67e-09	4.42e-10	273	0	0	846.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2015-01-14 13:39:01	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.2	300.6		g	-02.4	2.81e-08	23	1	6.01e-10	6.55e-10	9.43e-10	273	0	0	849.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2015-01-15 13:56:16	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	10.3	341.4		g	28.7	1.07e-08	24	1	6.83e-10	6.58e-10	1.87e-09	273	0	0	852.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2015-01-15 15:31:30	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.7	341.4		g	22.0	1.03e-08	25	1	6.56e-10	6.73e-10	3.57e-10	273	0	0	852.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2015-01-18 12:21:25	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	10.5	239.6		g	-05.4	1.58e-08	26	1	2.96e-09	9.03e-10	3.20e-10	273	0	0	855.0
This study	unknown	Z32.5	Z32	Z32.5a	Z32.5a:LP-DIR-T	hargrave 2015-01-19 09:42:08	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.4	246.1		g	-17.8	1.35e-08	27	1	7.13e-10	9.58e-10	5.07e-10	273	0	0	855.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.2.1	3.9	153.0		g	5.1	3.41e-06	1	1	1.08e-07	2.06e-07	1.46e-08	273	0	0	273
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	3.8	158.8		g	-10.0	7.32e-07	2	1	1.79e-08	4.40e-08	7.91e-09	273	0	0	77
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.2	160.8		g	-14.5	6.29e-07	3	1	1.93e-08	3.00e-08	6.76e-09	273	0	0	373.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-10-22 15:15:14	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	4.1	166.3		g	-25.0	4.96e-07	4	1	1.20e-08	3.31e-08	6.50e-09	273	0	0	423.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-10-27 15:42:40	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.9	171.8		g	-37.6	4.02e-07	5	1	8.42e-09	2.54e-08	6.67e-09	273	0	0	473.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-10-28 13:05:21	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	182.3		g	-46.6	3.53e-07	6	1	3.71e-09	1.85e-08	4.64e-09	273	0	0	523.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-10-28 20:01:13	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	189.8		g	-54.1	3.29e-07	7	1	2.11e-09	1.54e-08	3.21e-09	273	0	0	573.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-10-29 20:14:49	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.3	205.6		g	-60.5	3.08e-07	8	1	2.43e-09	1.15e-08	4.82e-09	273	0	0	623.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-11-03 16:34:37	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.3	221.1		g	-63.2	2.85e-07	9	1	5.31e-09	9.59e-09	3.85e-09	273	0	0	673.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-11-04 11:28:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	231.6		g	-64.3	2.69e-07	10	1	3.71e-09	3.62e-09	3.46e-09	273	0	0	698.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-11-10 12:14:39	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.8	241.9		g	-65.1	2.47e-07	11	1	5.26e-09	5.44e-09	3.52e-09	273	0	0	723.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-11-10 21:36:51	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.6	251.0		g	-64.5	2.30e-07	12	1	9.51e-09	4.46e-09	7.89e-10	273	0	0	748.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-11-13 11:06:44	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	258.4		g	-65.6	2.13e-07	13	1	1.12e-08	3.13e-09	6.90e-10	273	0	0	773.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-11-17 16:49:48	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.1	269.6		g	-70.8	1.87e-07	14	1	6.49e-09	1.84e-09	1.20e-09	273	0	0	788.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-11-24 17:39:25	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.9	284.5		g	-68.7	1.67e-07	15	1	2.32e-09	1.22e-09	1.26e-09	273	0	0	803.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-12-01 16:20:35	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	278.4		g	-65.0	1.44e-07	16	1	2.72e-09	1.06e-09	6.64e-10	273	0	0	818.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-12-02 00:08:36	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	0.8	282.6		g	-65.0	1.14e-07	17	1	1.21e-09	9.75e-10	9.73e-10	273	0	0	823.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-12-05 13:04:25	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.7	292.0		g	-59.7	9.24e-08	18	1	2.48e-09	1.03e-09	7.86e-10	273	0	0	828.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-12-06 13:03:05	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.7	285.4		g	-60.3	4.99e-08	19	1	2.11e-09	1.02e-09	1.13e-09	273	0	0	833.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-12-08 14:41:02	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.6	269.3		g	-42.7	4.11e-08	20	1	1.10e-09	8.58e-10	1.92e-09	273	0	0	838.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2014-12-08 21:34:04	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.5	269.7		g	-59.6	2.64e-08	21	1	9.27e-10	7.33e-10	1.71e-09	273	0	0	843.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2015-01-12 10:24:00	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	8.5	312.4		g	-01.3	1.80e-08	22	1	2.74e-09	9.05e-10	1.04e-09	273	0	0	846.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2015-01-14 13:41:00	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.6	266.5		g	01.4	2.74e-08	23	1	8.52e-10	8.86e-10	1.51e-09	273	0	0	849.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2015-01-15 13:58:15	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	16.5	060.9		g	-11.6	7.82e-09	24	1	6.80e-10	7.12e-10	2.17e-09	273	0	0	852.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2015-01-15 15:33:31	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	7.1	056.5		g	-20.2	7.78e-09	25	1	6.30e-10	5.56e-10	7.60e-10	273	0	0	852.0
This study	unknown	Z32.6	Z32	Z32.6a	Z32.6a:LP-DIR-T	hargrave 2015-01-18 12:24:12	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	6.1	204.0		g	-01.1	1.76e-08	26	1	2.71e-09	9.48e-10	8.50e-10	273	0	0	855.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T		LT-NO:LP-DIR-T	pmagpy-3.2.1	2.0	192.5		g	38.0	7.68e-07	1	1	1.65e-08	2.19e-08	5.91e-09	273	0	0	273
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T		LT-LT-Z:LP-DIR-T	pmagpy-3.2.1	4.8	224.0		g	-15.8	1.51e-07	2	1	7.65e-09	8.53e-09	5.62e-09	273	0	0	77
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T		LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.3	235.6		g	-28.5	1.48e-07	3	1	4.49e-09	5.13e-09	5.64e-09	273	0	0	373.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T	hargrave 2014-10-22 15:16:54	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.4	256.7		g	-43.3	1.64e-07	4	1	7.56e-09	4.30e-09	4.60e-09	273	0	0	423.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T	hargrave 2014-10-27 15:44:20	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	2.2	280.1		g	-53.3	1.89e-07	5	1	6.37e-09	1.33e-09	4.46e-09	273	0	0	473.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T	hargrave 2014-10-28 13:06:59	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	3.1	290.6		g	-53.9	2.06e-07	6	1	1.10e-08	1.58e-09	3.72e-09	273	0	0	523.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T	hargrave 2014-10-28 20:02:53	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.9	296.9		g	-54.5	2.17e-07	7	1	6.29e-09	2.88e-09	2.96e-09	273	0	0	573.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T	hargrave 2014-10-29 20:16:28	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.4	297.5		g	-54.7	2.21e-07	8	1	4.53e-09	1.64e-09	3.40e-09	273	0	0	623.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T	hargrave 2014-11-03 16:36:17	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.2	302.2		g	-51.8	2.20e-07	9	1	3.76e-09	2.45e-09	2.13e-09	273	0	0	673.0
This study	unknown	Z32.7	Z32	Z32.7a	Z32.7a:LP-DIR-T	hargrave 2014-11-04 11:30:17	LT-T-Z:LP-DIR-T	pmagpy-3.2.1	1.1	304.5		g	-51.2	2.18e-07	10	1	3.02e-09	2.67e-09	2.80e-09	273	0	0	698.0
